Supplier,Spend_AUD,Treatment,NAICS,Factor_kgCO2e_per_USD2022,tCO2e,Basis
"VIVA (FUEL) ENERGY AUST. P/L",72541445,ALREADY,—,0.000,0.0,"Diesel. Scope 1 and Category 3"
"SIMMCO QLD P/L",40191657,SERVICE-FUEL,213114,0.372,9404.4,"Earth moving equipment with operator"
"ORICA  AUST",34973338,ALREADY,—,0.000,0.0,"Explosives and cyanide. Already Category 1"
"NEUMANN CONTRACTORS P/L",23062961,SERVICE-FUEL,213114,0.372,5396.5,"Dredging"
"ROC-DRILL PTY LTD",21874763,SERVICE-FUEL,213114,0.372,5118.4,"Drilling"
"PENSAR PROJECT INFRASTRUCTURE",18054193,CAPITAL,237990,0.202,2293.9,"Project earthworks"
"CS ENERGY",14917071,ALREADY,—,0.000,0.0,"Electricity. Scope 2 and Category 3"
"HITACHI CONSTRUCTION MACHINERY",14390616,ALREADY,—,0.000,0.0,"Parts. Already Category 1"
"MOLY-COP",9695843,ALREADY,—,0.000,0.0,"Grinding media. Already Category 1"
"CATER CARE SERVICES P/L",8350423,SERVICE,722310,0.132,693.3,"Catering and camp services"
"NATIONAL PUMP & ENERGY PTY LTD",8050176,SERVICE-FUEL,213114,0.372,1883.6,"Power generation operator"
"RMS ENGINEERING & CONSTRUCTION",7248435,CAPITAL,237990,0.202,921.0,"TSF civils construction"
"HASTINGS DEERING (AUSTRALIA)",6506474,ALREADY,—,0.000,0.0,"Parts. Already Category 1"
"EMECO GROUP LTD",5333359,SERVICE,532412,0.106,355.6,"Heavy machinery rental"
"METSO AUSTRALIA P/L",5196741,SERVICE,811310,0.136,444.6,"Buckets and liners with equipment hire"
"NORTH QUEENSLAND HARDFACING",4709527,SERVICE,811310,0.136,402.9,"Equipment servicing offsite"
"WOODFIELDS ENGINEERING",4177345,ALREADY,—,0.000,0.0,"Roller drums and parts. Already Category 1"
"MINETEK PTY LTD",4080751,SERVICE,237990,0.202,518.5,"Water, ventilation and noise solutions"
"TOWNSVILLE CRANES",3948605,SERVICE,532412,0.106,263.3,"Crane hire, wet and dry"
"COREGAS PTY LTD",3668122,ALREADY,—,0.000,0.0,"Industrial gases. Already Category 1"
"FLSMIDTH PTY LTD",3492624,ALREADY,—,0.000,0.0,"Plant equipment and parts. Already Category 1"
"AQUA INFRA PTY LTD ATF THE AIQ",3054797,SERVICE,237110,0.221,424.6,"Pipeline contractor"
"VIVA ENERGY AUST. LTD-#1117240",2956130,ALREADY,—,0.000,0.0,"Oils and lubricants. Already Category 1"
"GENUITY RETAIL PTY LTD",2817310,ALREADY,—,0.000,0.0,"Electricity. Scope 2 and Category 3"
"CEMENT AUSTRALIA P/L",2729689,ALREADY,—,0.000,0.0,"Bulk cement. Already Category 1"
"DIAMOND DIESEL SERVICES P/L",2729433,SERVICE,811310,0.136,233.5,"Mechanics and diesel fitters"
"PENSKE AUSTRALIA PTY LTD",2649013,SERVICE,811310,0.136,226.6,"Mechanical repairs"
"HUDSON WELDING P/L",2469947,SERVICE,811310,0.136,211.3,"Fitters and welders"
"MAXITOOL MINING P/L",2392141,SERVICE-FUEL,213114,0.372,559.7,"Mining and dredging contract services"
"SHERRIFF ELECTRICAL P/L",2380571,ALREADY,—,0.000,0.0,"Electrical parts. Already Category 1"
"BRIDGESTONE MINING SOLN.  P/L",2358607,ALREADY,—,0.000,0.0,"Tyres. Already Category 1"
"BRADKEN RESOURCES PTY LTD",2344380,ALREADY,—,0.000,0.0,"Wear parts. Already Category 1"
"FENNER DUNLOP CONVEYOR SERVICE",2298066,SERVICE,811310,0.136,196.6,"Conveyor belts and service"
"WEIR MINERALS AUSTRALIA LTD",2187867,ALREADY,—,0.000,0.0,"Wear parts. Already Category 1"
"VINIDEX PTY LTD",2053226,ALREADY,—,0.000,0.0,"Pipe. Already Category 1"
"TEAM GLOBAL EXPRESS PTY LTD",2035247,FREIGHT,484121,0.595,761.7,"Courier and transport. Category 4"
"UNIVERSAL CRANES (NTH QLD) P/L",1998481,SERVICE,532412,0.106,133.2,"Crane hire"
"QUEENSLAND TREASURY",1916487,EXCLUDED,—,0.000,0.0,"Royalties and duties. No emission"
"ATC WILLIAMS PTY LTD",1855814,SERVICE,541330,0.103,120.2,"Engineering consultants"
"J. BLACKWOOD & SON PTY LTD",1707797,ALREADY,—,0.000,0.0,"Consumables. Already Category 1"
"CHARTERS TOWERS REG. COUNCIL",1696310,EXCLUDED,—,0.000,0.0,"Rates and council charges"
"CHRYSOS AU OPERATIONS PTY LTD",1562079,SERVICE,532412,0.106,104.2,"Photon assay rental"
"ELASTOMERS AUSTRALIA",1490381,ALREADY,—,0.000,0.0,"Rubber goods. Already Category 1"
"BURGESS LASER ALIGNING",1348557,SERVICE,811310,0.136,115.4,"Machinery alignment"
"DATACOM SYSTEMS (AU) P/L",1333873,SERVICE,541512,0.089,74.7,"Information technology"
"CDB MINING SERVICES",1303448,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"GEOFABRICS AUSTRALASIA PTY LTD",1209316,UNCLASSIFIED,—,0.000,0.0,"Geotextiles for dams/TSF"
"EMACS ELECTRIC MOTORS PTY LTD",1194245,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"FLEETCO RENTALS PTY LTD",1167505,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"MINTER ELLISON",1139008,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"LEICA GEOSYSTEMS PTY LTD",1130377,SERVICE,541512,0.089,63.3,"Survey systems"
"AUSTRALIAN CHEMICALS PTY LTD",1101596,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"KAL TIRE (AUSTRALIA) PTY LTD",1095770,SERVICE,811310,0.136,93.7,"Tyre maintenance and repair"
"SKIDS EARTHMOVING & DIESEL REP",1093363,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"PINNACLE HIRE QLD PTY LTD",1050550,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"BOWEN INDUSTRIAL HIRE P/L",957156,UNCLASSIFIED,—,0.000,0.0,"Not in the top-tier register"
"RESOURCES SAFETY & HEALTH QLD",944589,EXCLUDED,—,0.000,0.0,"Regulator fees. No emission"
