Category,Item,Detail,Severity
4,Product group MTRE carries no factor,"$376,990 of recorded expenditure has no factor for this category in the product group register.",
4,Product group EL01 carries no factor,"$38,799 of recorded expenditure has no factor for this category in the product group register.",
2,CAP0023 Atlas Copco CPS 450-14,Outstanding: no commissioning date,Warning
2,CAP0024 Kubota SQ3300B-AU-B,Outstanding: no commissioning date,Warning
2,CAP0025 Denyo DB-0391KV,Outstanding: no commissioning date,Warning
2,CAP0026 Airman DGA-25-6SK,Outstanding: no commissioning date,Warning
2,CAP0027 Genelite GK105.1,Outstanding: no commissioning date,Warning
2,CAP0028 Kubota GL9000D,Outstanding: no commissioning date,Warning
2,CAP0029 Kubota GL9000 - AUS,Outstanding: no commissioning date,Warning
2,CAP0030 Budget Trailers 10 X 6 Flat Deck,Outstanding: no commissioning date,Warning
