Date,Activity,SubActivity,Description,Department,CostCentre,State,UOM,Quantity,Source,Identifier,ProductGroup,Value,Mass_kg
1/1/2022,Combustion,Acetylene,Acetylene industrial size G 7.0m3,Mining Open Pit,Projects and Work Orders,QLD,m3,42.0,INV03,100192,,,
1/1/2022,Combustion,Acetylene,Acetylene technical grade 99% size G,Mining Open Pit,Projects and Work Orders,QLD,m3,28.0,INV03,102260,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Commercial & Administration,Light Vehicles,QLD,kL,8.3864,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Commercial & Administration,Operations Administration,QLD,kL,2.5096,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Environment & Community,Environment,QLD,kL,0.087,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Exploration & Development,Exploration and Development,QLD,kL,10.483,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Geology,Grade Control,QLD,kL,1.3035,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Blasting,QLD,kL,16.3324,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Drilling - Production,QLD,kL,122.2266,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Geotechnical,QLD,kL,24.1169,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Hauling,QLD,kL,831.8461,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Loading,QLD,kL,289.2231,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Management Services,QLD,kL,2.0259,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Mobile Equipment,QLD,kL,211.0368,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Projects and Work Orders,QLD,kL,187.3841,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Mining Open Pit,Rehandling,QLD,kL,158.108,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Processing,Crushing - Fixed,QLD,kL,56.3842,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Processing,Crushing - Supplemental,QLD,kL,8.6442,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Processing,Milling,QLD,kL,5.4162,INV03,103206,,,
1/1/2022,Combustion,Diesel,Diesel fuel bulk,Processing,Tailings Disposal,QLD,kL,0.5416,INV03,103206,,,
1/1/2022,Combustion,Greases,Grease Gadus S2 V220 2 C2 450g,Mining Open Pit,Projects and Work Orders,QLD,L,5.4,INV03,101580,,,
1/1/2022,Combustion,Greases,Grease Gadus S2 V220 2 D180K,Mining Open Pit,Projects and Work Orders,QLD,L,800,INV03,100004,,,
1/1/2022,Combustion,Greases,Grease Gadus S2 V220 2 IBC-K Red Rocket 1000kg,Mining Open Pit,Projects and Work Orders,QLD,L,3000,INV03,126311,,,
1/1/2022,Combustion,Greases,Grease Gadus S3 EP2 450g cartridge,Mining Open Pit,Projects and Work Orders,QLD,L,27,INV03,101578,,,
1/1/2022,Combustion,Greases,Grease Gadus S3 V460D 2 450g cartridge,Mining Open Pit,Projects and Work Orders,QLD,L,16.2,INV03,103568,,,
1/1/2022,Combustion,Greases,Grease Gadus S3 V460DM 2 180kg,Mining Open Pit,Projects and Work Orders,QLD,L,800,INV03,123620,,,
1/1/2022,Combustion,Greases,Grease premium heavy duty NLGI 2 20kg tub,Mining Open Pit,Projects and Work Orders,QLD,L,40,INV03,131278,,,
1/1/2022,Combustion,Greases,Grease special purpose rubber products 500g tub,Mining Open Pit,Projects and Work Orders,QLD,L,1,INV03,101472,,,
1/1/2022,Combustion,LPG,Propane Handigas 45kg,Mining Open Pit,Projects and Work Orders,QLD,kL,0.0882,INV03,121352,,,
1/1/2022,Combustion,LPG,Propane LPG bulk delivery,Processing,Gold Room,QLD,kL,20.0385,INV03,103570,,,
1/1/2022,Combustion,Lubricants,Coolant antifreeze HD Premium N Cool 1000L,Mining Open Pit,Projects and Work Orders,QLD,kL,4.0,INV03,120407,,,
1/1/2022,Combustion,Lubricants,Cutting fluid Ultracut Clear 370 drum,Mining Open Pit,Projects and Work Orders,QLD,kL,0.02,INV03,101917,,,
1/1/2022,Combustion,Lubricants,Engine oil Rimula R4 MV 15W40 1000L IBC,Mining Open Pit,Projects and Work Orders,QLD,kL,15.0,INV03,124779,,,
1/1/2022,Combustion,Lubricants,Gear oil 90W GL4 200L drum Hitachi,Mining Open Pit,Projects and Work Orders,QLD,kL,0.8,INV03,128162,,,
