quarter_end,rate_audusd,basis,source
2022-03-31,0.7493,actual,"Pound Sterling Live, last trading day close"
2022-06-30,0.6897,actual,"Pound Sterling Live, last trading day close"
2022-09-30,0.6482,actual,"Pound Sterling Live, last trading day close"
2022-12-31,0.6821,actual,"Pound Sterling Live, last trading day close"
2023-03-31,0.6684,actual,"Pound Sterling Live, last trading day close"
2023-06-30,0.6658,actual,"Pound Sterling Live, last trading day close"
2023-09-30,0.6434,actual,"Pound Sterling Live, last trading day close"
2023-12-31,0.6811,actual,"Pound Sterling Live, last trading day close"
2024-03-31,0.6525,actual,"Pound Sterling Live, last trading day close"
2024-06-30,0.6670,actual,"Pound Sterling Live, last trading day close"
2024-09-30,0.6913,actual,"Pound Sterling Live, last trading day close"
2024-12-31,0.6185,actual,"Pound Sterling Live, last trading day close"
2025-03-31,0.6247,actual,"Pound Sterling Live, last trading day close"
2025-06-30,0.6581,actual,"Pound Sterling Live, last trading day close"
2025-09-30,0.6613,actual,"Pound Sterling Live, last trading day close"
2025-12-31,0.6670,actual,"Pound Sterling Live, last trading day close"
2026-03-31,0.6900,actual,"Pound Sterling Live, last trading day close"
2026-06-30,0.6919,actual,"Pound Sterling Live, last trading day close"
2026-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2026-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2027-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2027-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2027-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2027-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2028-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2028-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2028-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2028-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2029-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2029-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2029-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2029-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2030-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2030-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2030-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2030-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2031-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2031-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2031-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2031-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2032-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2032-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2032-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2032-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2033-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2033-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2033-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2033-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2034-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2034-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2034-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2034-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2035-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2035-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2035-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2035-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2036-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2036-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2036-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2036-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2037-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2037-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2037-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2037-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2038-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2038-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2038-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2038-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2039-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2039-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2039-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2039-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2040-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2040-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2040-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2040-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2041-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
2041-06-30,0.6919,assumption,held flat at the 2026-06-30 actual
2041-09-30,0.6919,assumption,held flat at the 2026-06-30 actual
2041-12-31,0.6919,assumption,held flat at the 2026-06-30 actual
2042-03-31,0.6919,assumption,held flat at the 2026-06-30 actual
