Date,Costcentre,Fuel,GridPower,SitePower
1/4/2020,Crushing - Fixed,0,589578.042,0
1/4/2020,Milling,228172.6079,4859811.958,0
1/4/2020,Crushing - Supplemental,147658.1492,0,0
1/4/2020,Environment,318.9493433,0,0
1/4/2020,Light Vehicles,8850.281426,0,0
1/4/2020,Rehandling,431019.6453,0,0
1/5/2020,Crushing - Fixed,101656.9037,584883.8394,0
1/5/2020,Milling,-54950.90997,4868946.161,0
1/5/2020,Crushing - Supplemental,-121324.9454,0,0
1/5/2020,Environment,214.2441155,0,0
1/5/2020,Light Vehicles,9852.365931,0,0
1/5/2020,Rehandling,692682.8197,0,0
1/6/2020,Crushing - Fixed,0,577103.7311,0
1/6/2020,Milling,0,4821139.393,0
1/6/2020,Operations Administration,251.6104585,56589.8762,0
1/6/2020,Environment,136.0038976,0,0
1/6/2020,Light Vehicles,4817.365885,0,0
1/6/2020,Rehandling,476557.4189,0,0
1/7/2020,Crushing - Fixed,0,608077.3958,0
1/7/2020,Milling,10645.65723,7016251.041,0
1/7/2020,Operations Administration,0,31042.56341,0
1/7/2020,Crushing - Supplemental,209709.6684,0,0
1/7/2020,Environment,4617.453831,0,0
1/7/2020,Light Vehicles,10179.23542,0,0
1/7/2020,Rehandling,314251.9683,0,0
1/8/2020,Crushing - Fixed,38012.00546,1638250.695,0
1/8/2020,Milling,0,6316533.305,0
1/8/2020,Environment,636.0793368,0,0
1/8/2020,Exploration and Development,25831.0001,0,0
1/8/2020,Light Vehicles,7079.903453,0,0
1/8/2020,Rehandling,508637.7164,0,0
1/9/2020,Crushing - Fixed,44879.75769,1356375.115,0
1/9/2020,Milling,0,6688572.885,0
1/9/2020,Environment,427.4317065,0,0
1/9/2020,Exploration and Development,21444.14219,0,0
1/9/2020,Light Vehicles,6958.715282,0,0
1/9/2020,Rehandling,750127.6032,0,0
1/10/2020,Crushing - Fixed,56191.9208,1631367.341,0
1/10/2020,Milling,0,6089902.123,0
1/10/2020,Operations Administration,0,19725.53634,0
1/10/2020,Environment,220.6873009,0,0
1/10/2020,Exploration and Development,42170.61903,0,0
1/10/2020,Light Vehicles,22832.24852,0,0
1/10/2020,Rehandling,701097.9745,0,0
1/11/2020,Crushing - Fixed,85742.48658,1609450.328,0
1/11/2020,Milling,245.8631485,6220849.663,0
1/11/2020,Operations Administration,0,22969.00898,0
1/11/2020,Crushing - Supplemental,924.440966,0,0
1/11/2020,Environment,261.4266547,0,0
1/11/2020,Exploration and Development,91711.04651,0,0
1/11/2020,Hauling,45428.62254,0,0
1/11/2020,Light Vehicles,15569.20841,0,0
