ItemID,Category,Key,Description,Basis,Quantity_UOM,Match_Key,FactorKey_Imported,FactorKey_Assigned,AssignedReason,AssignedBy,AssignedAt,Excluded,Exclude_Reason,CountedAgainst,Import,Notes
1|excluded|FUEL,1,FUEL,DIESEL & PETROL,excluded,,,,,,,,True,Diesel and petrol.  Scope 1 combustion and Category 3 well to tank.,NGA — WTT diesel,Scope3Factors.csv,
1|excluded|LABO,1,LABO,LABOUR TYPE,excluded,,,,,,,,True,Labour type.  Not a purchased good.,,Scope3Factors.csv,
1|excluded|LUBR,1,LUBR,LUBRICANTS,excluded,,,,,,,,True,Lubricants.  Scope 1 combustion and Category 3 well to tank.,NGA — WTT petroleum oils,Scope3Factors.csv,
1|excluded|PROP,1,PROP,PROPANE,excluded,,,,,,,,True,Propane.  Scope 1 combustion and Category 3 well to tank.,NGA — WTT LPG,Scope3Factors.csv,
1|excluded|ZDEL,1,ZDEL,Deleted Items,excluded,,,,,,,,True,Deleted items.,,Scope3Factors.csv,
1|excluded|ZZZZ,1,ZZZZ,Generic - To Be Corrected,excluded,,,,,,,,True,"Generic, to be corrected.",,Scope3Factors.csv,
1|physical|EXPL,1,EXPL,EXPL,physical,t,Explosives,"Industry|AusLCI|ammonium nitrate, market for ammonium nitrate|Australia|t CO2-e per t",,,,,False,,,Scope3Factors.csv,"Manufacture of the explosive. Detonation is separate, 0.17 t CO2 per tonne on AGO 2004 Table 11, and is priced as Scope 1 from the AGO ANFO detonation factor in this register."
1|spend|ACID,1,ACID,ACID,spend,,,Spend-based|EPA SCEF|Other Basic Inorganic Chemical Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|ANTI,1,ANTI,ANTISCALANT,spend,,,Spend-based|EPA SCEF|All Other Miscellaneous Chemical Product and Preparation Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BATT,1,BATT,BATTERIES,spend,,,Spend-based|EPA SCEF|All Other Miscellaneous Chemical Product and Preparation Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BE01,1,BE01,BELTS - VEE,spend,,,Spend-based|EPA SCEF|Motor and Generator Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BELT,1,BELT,BELTS,spend,,,Spend-based|EPA SCEF|Motor and Generator Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BMAT,1,BMAT,BUILDING MATERIALS,spend,,,Spend-based|EPA SCEF|Iron and Steel Mills and Ferroalloy Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BOM,1,BOM,BOM'S,spend,,,Spend-based|EPA SCEF|All Other Miscellaneous Chemical Product and Preparation Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BR01,1,BR01,BEARINGS - BEARINGS,spend,,,Spend-based|EPA SCEF|Motor and Generator Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BR02,1,BR02,BEARINGS - ADAPTOR SLEEVES,spend,,,Spend-based|EPA SCEF|Motor and Generator Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BR03,1,BR03,BEARINGS - TAPERLOCK BUSHES,spend,,,Spend-based|EPA SCEF|Motor and Generator Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BR04,1,BR04,BEARINGS - HOUSINGS,spend,,,Spend-based|EPA SCEF|Motor and Generator Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BR05,1,BR05,BEARINGS - SEALS,spend,,,Spend-based|EPA SCEF|Motor and Generator Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BR06,1,BR06,BEARINGS - SPACER RINGS,spend,,,Spend-based|EPA SCEF|Motor and Generator Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BR07,1,BR07,BEARINGS - VEE PULLEYS,spend,,,Spend-based|EPA SCEF|Motor and Generator Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|BRNG,1,BRNG,BEARINGS & PWR TRANSMISSION EQ,spend,,,Spend-based|EPA SCEF|Motor and Generator Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CABE,1,CABE,CABLE ELECTRICAL,spend,,,Spend-based|EPA SCEF|Other Electronic Component Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CARB,1,CARB,CARBON,spend,,,Spend-based|EPA SCEF|All Other Miscellaneous Chemical Product and Preparation Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CAUS,1,CAUS,CAUSTIC,spend,,,Spend-based|EPA SCEF|Other Basic Inorganic Chemical Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CEMT,1,CEMT,CEMENT,spend,,,Spend-based|EPA SCEF|Cement Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CHEM,1,CHEM,CHEMICALS,spend,,,Spend-based|EPA SCEF|Other Basic Inorganic Chemical Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CMPM,1,CMPM,COMPRESSOR SPARES MECHANICAL,spend,,,Spend-based|EPA SCEF|All Other Miscellaneous Chemical Product and Preparation Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|COMH,1,COMH,COMMS HARDWARE,spend,,,Spend-based|EPA SCEF|Other Electronic Component Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CONE,1,CONE,CONTRACTORS - ELECTRICAL,spend,,,Spend-based|EPA SCEF|Electrical Contractors and Other Wiring Installation Contractors|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CONG,1,CONG,CONTRACTORS - GENERAL,spend,,,Spend-based|EPA SCEF|All Other Specialty Trade Contractors|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CONL,1,CONL,CONTRACTORS - LABOUR HIRE,spend,,,Spend-based|EPA SCEF|Temporary Help Services|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CONQ,1,CONQ,CONSULTANTS,spend,,,Spend-based|EPA SCEF|Environmental Consulting Services|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CONT,1,CONT,CONTRACTOR TEMP STAFF(EXTERNAL,spend,,,Spend-based|EPA SCEF|Temporary Help Services|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CORE,1,CORE,CORE CHARGE,spend,,,Spend-based|EPA SCEF|All Other Miscellaneous Chemical Product and Preparation Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CRSH,1,CRSH,CRUSHER SPARES,spend,,,Spend-based|EPA SCEF|Iron and Steel Forging|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CV01,1,CV01,CONVEYOR BELTING,spend,,,Spend-based|EPA SCEF|Rubber and Plastics Hoses and Belting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CV02,1,CV02,CONVEYOR FRAMES,spend,,,Spend-based|EPA SCEF|Rubber and Plastics Hoses and Belting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CV03,1,CV03,CONVEYOR ROLLERS,spend,,,Spend-based|EPA SCEF|Rubber and Plastics Hoses and Belting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CV04,1,CV04,CONVEYOR SCRAPERS,spend,,,Spend-based|EPA SCEF|Rubber and Plastics Hoses and Belting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CV05,1,CV05,CONVEYOR PULLEYS,spend,,,Spend-based|EPA SCEF|Rubber and Plastics Hoses and Belting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CV06,1,CV06,CONVEYOR OTHER,spend,,,Spend-based|EPA SCEF|Rubber and Plastics Hoses and Belting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CV07,1,CV07,CONVEYOR SKIRTING,spend,,,Spend-based|EPA SCEF|Rubber and Plastics Hoses and Belting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CV08,1,CV08,CONVEYOR GEARBOXES,spend,,,Spend-based|EPA SCEF|Rubber and Plastics Hoses and Belting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CV09,1,CV09,CONVEYOR GEARBOX COMPONENTS,spend,,,Spend-based|EPA SCEF|Rubber and Plastics Hoses and Belting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|CYAN,1,CYAN,CYANIDE,spend,,,Spend-based|EPA SCEF|Other Basic Inorganic Chemical Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|DEGR,1,DEGR,DEGREASER,spend,,,Spend-based|EPA SCEF|Soap and Other Detergent Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|DUST,1,DUST,DUST SUPPRESSANT,spend,,,Spend-based|EPA SCEF|All Other Miscellaneous Chemical Product and Preparation Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|ECON,1,ECON,ELECTRICAL CONSUMABLES,spend,,,Spend-based|EPA SCEF|Other Electronic Component Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|EL01,1,EL01,ELECTRICAL VSD'S,spend,,,"Spend-based|EPA SCEF|Measuring, Dispensing, and Other Pumping Equipment Manufacturing|USA|kg/USD",,,,,False,,,Scope3Factors.csv,
1|spend|ELRE,1,ELRE,ELECTRICAL RETICULATION,spend,,,Spend-based|EPA SCEF|Other Electronic Component Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|EQIP,1,EQIP,EQUIPMENT PURCHASES,spend,,,Spend-based|EPA SCEF|All Other Miscellaneous Chemical Product and Preparation Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|EXPL,1,EXPL,EXPLOSIVES,spend,,,Spend-based|EPA SCEF|Explosives Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FAST,1,FAST,FASTENERS AND BOLTING,spend,,,Spend-based|EPA SCEF|Iron and Steel Mills and Ferroalloy Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FL01,1,FL01,FILTERS AIR - CAT COMMON,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FL02,1,FL02,FILTERS OTHER - CAT COMMON,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FL04,1,FL04,FILTERS AIR - CAT 992,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FL05,1,FL05,FILTERS OTHER- CAT 777,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FL08,1,FL08,FILTERS OTHER- CAT 777,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FL19,1,FL19,FILTERS AIR - HITACHI COMMON,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FL20,1,FL20,FILTERS OTHER - HITACHI COMMON,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FL22,1,FL22,FILTERS AIR - HITACHI EH3500,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FL23,1,FL23,FILTERS OTHER - HITACHI EH3500,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FL26,1,FL26,FILTERS OTHER - HITACHI EX3600,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FL29,1,FL29,FILTERS OTHER- HITACHI EX1200,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FL32,1,FL32,FILTERS OTHER - HITACHI EX2600,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FLOC,1,FLOC,FLOCCULANT,spend,,,Spend-based|EPA SCEF|All Other Miscellaneous Chemical Product and Preparation Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FLTA,1,FLTA,FILTERS - AIR,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FLTR,1,FLTR,FILTER OTHER,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FP01,1,FP01,FXD PLT - CJ815 MECH,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FP03,1,FP03,FXD PLT - FLSMIDTH PRIM CRUSH,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FP04,1,FP04,FXD PLT - METSO MP1000 CRUSHER,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FP05,1,FP05,FXD PLT - METSO HP800 CRUSHER,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FP06,1,FP06,FXD PLT - TRANSMIN FEEDER,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FP07,1,FP07,FXD PLT - STEINERT MAG BELT,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FP08,1,FP08,FXD PLT - PIPING & SPOOLS,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FP09,1,FP09,FXD PLT - CYCLONE SPARES,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
1|spend|FPES,1,FPES,FIXED PLANT ELECTRICAL SPARES,spend,,,Spend-based|EPA SCEF|Other Metal Valve and Pipe Fitting Manufacturing|USA|kg/USD,,,,,False,,,Scope3Factors.csv,
