Year,Series,Index,Basis,Source
2021,US CPI-U,270.97,actual,"US Bureau of Labor Statistics, CPI-U, annual average"
2022,US CPI-U,292.655,actual,"US Bureau of Labor Statistics, CPI-U, annual average"
2023,US CPI-U,304.702,actual,"US Bureau of Labor Statistics, CPI-U, annual average"
2024,US CPI-U,313.689,actual,"US Bureau of Labor Statistics, CPI-U, annual average"
2025,US CPI-U,321.844,actual,"US Bureau of Labor Statistics, CPI-U, annual average"
2026,US CPI-U,333.918,"actual, July level","US Bureau of Labor Statistics, CPI-U, annual average"
2027,US CPI-U,333.918,assumption,held flat at the 2026 level
2028,US CPI-U,333.918,assumption,held flat at the 2026 level
2029,US CPI-U,333.918,assumption,held flat at the 2026 level
2030,US CPI-U,333.918,assumption,held flat at the 2026 level
2031,US CPI-U,333.918,assumption,held flat at the 2026 level
2032,US CPI-U,333.918,assumption,held flat at the 2026 level
2033,US CPI-U,333.918,assumption,held flat at the 2026 level
2034,US CPI-U,333.918,assumption,held flat at the 2026 level
2035,US CPI-U,333.918,assumption,held flat at the 2026 level
2036,US CPI-U,333.918,assumption,held flat at the 2026 level
2037,US CPI-U,333.918,assumption,held flat at the 2026 level
2038,US CPI-U,333.918,assumption,held flat at the 2026 level
2039,US CPI-U,333.918,assumption,held flat at the 2026 level
2040,US CPI-U,333.918,assumption,held flat at the 2026 level
2041,US CPI-U,333.918,assumption,held flat at the 2026 level
2042,US CPI-U,333.918,assumption,held flat at the 2026 level
2043,US CPI-U,333.918,assumption,held flat at the 2026 level
2044,US CPI-U,333.918,assumption,held flat at the 2026 level
2045,US CPI-U,333.918,assumption,held flat at the 2026 level
2046,US CPI-U,333.918,assumption,held flat at the 2026 level
2047,US CPI-U,333.918,assumption,held flat at the 2026 level
2048,US CPI-U,333.918,assumption,held flat at the 2026 level
2049,US CPI-U,333.918,assumption,held flat at the 2026 level
2050,US CPI-U,333.918,assumption,held flat at the 2026 level
