Code,Description,Basis,Quantity_t,Spend_AUD,Spend_USD2022,Factor,Factor_Unit,Factor_Source,Cat1_tCO2e_YTD,Cat1_tCO2e_Annualised,Share_pct,Cumulative_pct,Cat4_tCO2e_YTD
CYAN,CYANIDE,Spend x EPA SCEF,,11358365.0,7144777.98,0.974,kg CO2-e/USD2022,US EPA SCEF v1.3 — Other Basic Inorganic Chemical Manufacturing,6959.0,11929.7,27.99,28.0,257.2
EXPL,EXPLOSIVES,Quantity x AusLCI,3132.23,,,2.12,t CO2-e/t,"AusLCI V48 — Ammonium nitrate, market for ammonium nitrate",6640.3,11383.4,26.71,54.7,
OXYG,OXYGEN - BULK,Spend x EPA SCEF,,2876194.53,1809219.14,1.163,kg CO2-e/USD2022,US EPA SCEF v1.3 — Industrial Gas Manufacturing,2104.1,3607.0,8.46,63.2,86.8
LIME,LIME,Spend x EPA SCEF,,1911301.49,1202270.29,1.56,kg CO2-e/USD2022,US EPA SCEF v1.3 — Lime Manufacturing,1875.5,3215.1,7.54,70.7,75.7
GMED,GRINDING MEDIA,Spend x EPA SCEF,,5980138.67,3761700.13,0.349,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron Foundries,1312.8,2250.5,5.28,76.0,79.0
TYRE,"TYRES, WHEELS RIMS & TUBES",Spend x EPA SCEF,,4029693.24,2534807.04,0.313,kg CO2-e/USD2022,US EPA SCEF v1.3 — Rubber Product Manufacturing for Mechanical Use,793.4,1360.1,3.19,79.2,76.0
MP13,MBL PLNT - HITACHI EH3500,Spend x EPA SCEF,,5232764.74,3291577.82,0.146,kg CO2-e/USD2022,US EPA SCEF v1.3 — Other Metal Valve and Pipe Fitting Manufacturing,480.6,823.9,1.93,81.1,88.9
CHEM,CHEMICALS,Spend x EPA SCEF,,550572.22,346327.69,0.974,kg CO2-e/USD2022,US EPA SCEF v1.3 — Other Basic Inorganic Chemical Manufacturing,337.3,578.2,1.36,82.5,12.5
MP15,MBL PLNT - HITACHI EX3600,Spend x EPA SCEF,,2683493.41,1688003.92,0.146,kg CO2-e/USD2022,US EPA SCEF v1.3 — Other Metal Valve and Pipe Fitting Manufacturing,246.4,422.4,0.99,83.5,45.6
BMAT,BUILDING MATERIALS,Spend x EPA SCEF,,470172.16,295753.46,0.769,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron and Steel Mills and Ferroalloy Manufacturing,227.4,389.8,0.91,84.4,5.3
SCRN,SCREENS SPARES,Spend x EPA SCEF,,1000574.4,629393.57,0.349,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron Foundries,219.7,376.6,0.88,85.3,13.2
CARB,CARBON,Spend x EPA SCEF,,687185.85,432262.07,0.472,kg CO2-e/USD2022,US EPA SCEF v1.3 — All Other Miscellaneous Chemical Product and Preparation Manufacturing,204.0,349.7,0.82,86.1,12.1
CV01,CONVEYOR BELTING,Spend x EPA SCEF,,1016945.47,639691.51,0.281,kg CO2-e/USD2022,US EPA SCEF v1.3 — Rubber and Plastics Hoses and Belting Manufacturing,179.8,308.2,0.72,86.8,17.9
GE07,GET - HITACHI EX3600,Spend x EPA SCEF,,775738.8,487964.73,0.349,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron Foundries,170.3,291.9,0.69,87.5,10.2
SCRM,SCREEN MEDIA,Spend x EPA SCEF,,349383.58,219773.54,0.769,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron and Steel Mills and Ferroalloy Manufacturing,169.0,289.7,0.68,88.2,4.0
FP03,FXD PLT - FLSMIDTH PRIM CRUSH,Spend x EPA SCEF,,1798757.72,1131476.63,0.146,kg CO2-e/USD2022,US EPA SCEF v1.3 — Other Metal Valve and Pipe Fitting Manufacturing,165.2,283.2,0.66,88.8,30.5
CAUS,CAUSTIC,Spend x EPA SCEF,,262181.11,164920.38,0.974,kg CO2-e/USD2022,US EPA SCEF v1.3 — Other Basic Inorganic Chemical Manufacturing,160.6,275.3,0.65,89.5,5.9
WRML,WEAR PARTS - MILLS,Spend x EPA SCEF,,303812.68,191107.98,0.769,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron and Steel Mills and Ferroalloy Manufacturing,147.0,252.0,0.59,90.1,3.4
WRCH,WEAR PLATES - CHUTES,Spend x EPA SCEF,,275929.17,173568.35,0.769,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron and Steel Mills and Ferroalloy Manufacturing,133.5,228.9,0.54,90.6,3.1
PU02,PUMP IMPELLERS,Spend x EPA SCEF,,425925.39,267920.81,0.47,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron and Steel Forging,125.9,215.8,0.51,91.1,6.2
PU01,PUMP LINERS,Spend x EPA SCEF,,402379.42,253109.64,0.47,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron and Steel Forging,119.0,204.0,0.48,91.6,5.8
GENC,CONSUMABLES - GENERAL,Spend x EPA SCEF,,393085.89,247263.7,0.472,kg CO2-e/USD2022,US EPA SCEF v1.3 — All Other Miscellaneous Chemical Product and Preparation Manufacturing,116.7,200.1,0.47,92.1,6.9
ACID,ACID,Spend x EPA SCEF,,152833.53,96137.22,0.974,kg CO2-e/USD2022,US EPA SCEF v1.3 — Other Basic Inorganic Chemical Manufacturing,93.6,160.5,0.38,92.4,3.5
FLOC,FLOCCULANT,Spend x EPA SCEF,,305547.39,192199.16,0.472,kg CO2-e/USD2022,US EPA SCEF v1.3 — All Other Miscellaneous Chemical Product and Preparation Manufacturing,90.7,155.5,0.36,92.8,5.4
STEL,"STEEL PLATE, BAR & TUBE",Spend x EPA SCEF,,185689.95,116804.97,0.769,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron and Steel Mills and Ferroalloy Manufacturing,89.8,153.9,0.36,93.2,2.1
PUMP,PUMP PARTS,Spend x EPA SCEF,,301559.16,189690.44,0.47,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron and Steel Forging,89.2,152.9,0.36,93.5,4.4
CV05,CONVEYOR PULLEYS,Spend x EPA SCEF,,504327.51,317238.27,0.281,kg CO2-e/USD2022,US EPA SCEF v1.3 — Rubber and Plastics Hoses and Belting Manufacturing,89.1,152.7,0.36,93.9,8.9
PU12,PUMP THROATBUSHS,Spend x EPA SCEF,,260317.52,163748.12,0.47,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron and Steel Forging,77.0,132.0,0.31,94.2,3.8
FPMS,FIXED PLANT MECHANICAL SPARES,Spend x EPA SCEF,,830347.75,522315.52,0.146,kg CO2-e/USD2022,US EPA SCEF v1.3 — Other Metal Valve and Pipe Fitting Manufacturing,76.3,130.8,0.31,94.5,14.1
WRRC,WEAR PARTS - RECYCLE CRUSHER,Spend x EPA SCEF,,143998.22,90579.53,0.769,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron and Steel Mills and Ferroalloy Manufacturing,69.7,119.5,0.28,94.8,1.6
CRSH,CRUSHER SPARES,Spend x EPA SCEF,,219299.74,137946.61,0.47,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron and Steel Forging,64.8,111.1,0.26,95.0,3.2
VALV,VALVES,Spend x EPA SCEF,,210509.98,132417.57,0.47,kg CO2-e/USD2022,US EPA SCEF v1.3 — Iron and Steel Forging,62.2,106.6,0.25,95.3,3.0
MP19,MBL PLNT - HITACHI EX2600,Spend x EPA SCEF,,620266.3,390167.51,0.146,kg CO2-e/USD2022,US EPA SCEF v1.3 — Other Metal Valve and Pipe Fitting Manufacturing,57.0,97.7,0.23,95.5,10.5
CV08,CONVEYOR GEARBOXES,Spend x EPA SCEF,,272181.73,171211.09,0.281,kg CO2-e/USD2022,US EPA SCEF v1.3 — Rubber and Plastics Hoses and Belting Manufacturing,48.1,82.5,0.19,95.7,4.8
SAFG,SAFETY EQUIPMENT - GENERAL,Spend x EPA SCEF,,157397.95,99008.39,0.472,kg CO2-e/USD2022,US EPA SCEF v1.3 — All Other Miscellaneous Chemical Product and Preparation Manufacturing,46.7,80.1,0.19,95.9,2.8
