Asset_Class,NAICS_Code,NAICS_Title,Factor_kgCO2e_per_USD2022,Margin_kgCO2e_per_USD2022,WithMargins_kgCO2e_per_USD2022,tCO2e_per_1M_AUD,tCO2e_per_1M_AUD_with_margins
"Transmission and distribution lines",237130,"Power and Communication Line and Related Structures Construction",0.277,0.000,0.277,174.2,174.2
"Substation civil and earthworks",237990,"Other Heavy and Civil Engineering Construction",0.202,0.000,0.202,127.1,127.1
"Concrete foundations and plinths",238110,"Poured Concrete Foundation and Structure Contractors",0.221,0.000,0.221,139.0,139.0
"Electrical installation and cabling",238210,"Electrical Contractors and Other Wiring Installation",0.221,0.000,0.221,139.0,139.0
"Mechanical installation, specialty trades",238990,"All Other Specialty Trade Contractors",0.221,0.000,0.221,139.0,139.0
"Industrial building construction",236210,"Industrial Building Construction",0.239,0.000,0.239,150.3,150.3
"Building construction, commercial and office",236220,"Commercial and Institutional Building Construction",0.224,0.000,0.224,140.9,140.9
"Structural steel, gantries, frames",332312,"Fabricated Structural Metal Manufacturing",0.246,0.017,0.263,154.7,165.4
"Transportable and modular buildings",332311,"Prefabricated Metal Building and Component Manufacturing",0.246,0.017,0.263,154.7,165.4
"Prefabricated timber buildings",321992,"Prefabricated Wood Building Manufacturing",0.135,0.029,0.164,84.9,103.2
"Tanks and heavy gauge vessels",332420,"Metal Tank (Heavy Gauge) Manufacturing",0.267,0.012,0.279,167.9,175.5
"Kilns, furnaces and ovens",333994,"Industrial Process Furnace and Oven Manufacturing",0.168,0.022,0.190,105.7,119.5
"Other industrial machinery",333249,"Other Industrial Machinery Manufacturing",0.166,0.019,0.185,104.4,116.4
"Power transformers",335311,"Power, Distribution, and Specialty Transformer Manufacturing",0.118,0.015,0.133,74.2,83.7
"Switchgear, circuit breakers, metering",335313,"Switchgear and Switchboard Apparatus Manufacturing",0.153,0.021,0.174,96.2,109.4
"STATCOM and power electronics",335999,"All Other Miscellaneous Electrical Equipment and Component Mfg",0.112,0.016,0.128,70.4,80.5
"Protection relays and control systems",335314,"Relay and Industrial Control Manufacturing",0.120,0.018,0.138,75.5,86.8
"Motors and generators",335312,"Motor and Generator Manufacturing",0.133,0.019,0.152,83.7,95.6
"Light vehicles and utilities",336112,"Light Truck and Utility Vehicle Manufacturing",0.241,0.027,0.268,151.6,168.6
"Heavy road trucks",336120,"Heavy Duty Truck Manufacturing",0.262,0.011,0.273,164.8,171.7
"Trailers and floats",336212,"Truck Trailer Manufacturing",0.185,0.015,0.200,116.4,125.8
"Tractors and agricultural plant",333111,"Farm Machinery and Equipment Manufacturing",0.191,0.029,0.220,120.1,138.4
"Forklifts, stackers, yard tractors",333924,"Industrial Truck, Tractor, Trailer and Stacker Machinery Mfg",0.234,0.022,0.256,147.2,161.0
"Mobile mining plant, dozers, graders",333120,"Construction Machinery Manufacturing",0.201,0.027,0.228,126.4,143.4
"Office furniture and fit-out",337214,"Office Furniture (except Wood) Manufacturing",0.184,0.056,0.240,115.7,151.0
"Design and engineering, external",541330,"Engineering Services",0.103,0.000,0.103,64.8,64.8
