Product_Group,NAICS_Code,NAICS_Title,Factor_kgCO2e_per_USD,Factor_Source,Rationale,Priority
"Cyanide","325180","Other Basic Inorganic Chemical Manufacturing",0.974,"US EPA SCEF v1.3","Best fit — NaCN is basic inorganic","AusLCI_preferred"
"Caustic soda","325180","Other Basic Inorganic Chemical Manufacturing",0.974,"US EPA SCEF v1.3","NaOH is basic inorganic","AusLCI_preferred"
"Hydrochloric acid","325180","Other Basic Inorganic Chemical Manufacturing",0.974,"US EPA SCEF v1.3","HCl is basic inorganic","AusLCI_preferred"
"Flocculant","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing",0.472,"US EPA SCEF v1.3","Polyacrylamide specialty","EPA_primary"
"Activated carbon","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing",0.472,"US EPA SCEF v1.3","Specialty chemical product","EPA_primary"
"Soda ash","325180","Other Basic Inorganic Chemical Manufacturing",0.974,"US EPA SCEF v1.3","Na2CO3 is basic inorganic","EPA_primary"
"Leach aid","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing",0.472,"US EPA SCEF v1.3","Specialty reagent","EPA_primary"
"Antiscalant","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing",0.472,"US EPA SCEF v1.3","Specialty chemical","EPA_primary"
"Dust suppressant","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing",0.472,"US EPA SCEF v1.3","Specialty chemical","EPA_primary"
"Degreaser","325611","Soap and Other Detergent Manufacturing",0.315,"US EPA SCEF v1.3","Cleaning agent","EPA_primary"
"Sodium chlorite","325180","Other Basic Inorganic Chemical Manufacturing",0.974,"US EPA SCEF v1.3","Inorganic salt","EPA_primary"
"Sodium hypochlorite","325180","Other Basic Inorganic Chemical Manufacturing",0.974,"US EPA SCEF v1.3","Inorganic chemical","EPA_primary"
"Sewage treatment","325180","Other Basic Inorganic Chemical Manufacturing",0.974,"US EPA SCEF v1.3","Treatment chemicals","EPA_primary"
"Cement","327310","Cement Manufacturing",3.846,"US EPA SCEF v1.3","Direct match","AusLCI_preferred"
"Lime","327410","Lime Manufacturing",1.56,"US EPA SCEF v1.3","Direct match","AusLCI_preferred"
"Liquid oxygen","325120","Industrial Gas Manufacturing",1.163,"US EPA SCEF v1.3","Direct match","EPA_primary"
"Nitrogen","325120","Industrial Gas Manufacturing",1.163,"US EPA SCEF v1.3","Direct match","EPA_primary"
"Welding gas","325120","Industrial Gas Manufacturing",1.163,"US EPA SCEF v1.3","Shielding gas","EPA_primary"
"Explosives","325920","Explosives Manufacturing",0.472,"US EPA SCEF v1.3","Direct match","AusLCI_preferred"
"Ferrous-fabrication","331110","Iron and Steel Mills and Ferroalloy Manufacturing",0.769,"US EPA SCEF v1.3","Primary steel","Worldsteel_preferred"
"Ferrous-wear","331511","Iron Foundries",0.349,"US EPA SCEF v1.3","Cast wear parts","EPA_primary"
"Cast-forged","332111","Iron and Steel Forging",0.47,"US EPA SCEF v1.3","Forged components","EPA_primary"
"Grinding media","331511","Iron Foundries",0.349,"US EPA SCEF v1.3","Cast steel grinding balls","EPA_primary"
"Power-transmission","335312","Motor and Generator Manufacturing",0.133,"US EPA SCEF v1.3","Motors generators","EPA_primary"
"Electromechanical","333914","Measuring Dispensing and Other Pumping Equipment Manufacturing",0.223,"US EPA SCEF v1.3","Pumps drives","EPA_primary"
"Electronic","334419","Other Electronic Component Manufacturing",0.08,"US EPA SCEF v1.3","Sensors controllers","EPA_primary"
"Conveyor","326220","Rubber and Plastics Hoses and Belting Manufacturing",0.281,"US EPA SCEF v1.3","Belts and components","EPA_primary"
"Polymer-rubber","326291","Rubber Product Manufacturing for Mechanical Use",0.313,"US EPA SCEF v1.3","Seals liners screens","EPA_primary"
"Tyres","326211","Tire Manufacturing (except Retreading)",0.233,"US EPA SCEF v1.3","Direct match","EPA_primary"
"Mixed-mechanical","332919","Other Metal Valve and Pipe Fitting Manufacturing",0.146,"US EPA SCEF v1.3","Valves fittings misc","EPA_primary"
"General-consumables","325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing",0.472,"US EPA SCEF v1.3","Catch-all tail","EPA_primary"
