Code,Description,Origin,Distance_km,Inbound_Mass_t,Spend_AUD,Cat4_EPA_tCO2e_YTD,Cat4_EPA_tCO2e_Annualised,Cat4_TonneKm_tCO2e_YTD,Cat4_TonneKm_tCO2e_Annualised
CYAN,CYANIDE,Brisbane,1340.0,2724.69,11358365.0,257.21,440.9,264.7,453.8
MP13,MBL PLNT - HITACHI EH3500,,,,5232764.74,88.87,152.4,,
OXYG,OXYGEN - BULK,Townsville port,129.0,2965.18,2876194.53,86.84,148.9,27.73,47.5
GMED,GRINDING MEDIA,Townsville port,129.0,3500.75,5980138.67,79.0,135.4,32.74,56.1
TYRE,"TYRES, WHEELS RIMS & TUBES",,,,4029693.24,76.04,130.4,,
LIME,LIME,Townsville port,129.0,4781.75,1911301.49,75.74,129.8,44.72,76.7
MP15,MBL PLNT - HITACHI EX3600,,,,2683493.41,45.58,78.1,,
FP03,FXD PLT - FLSMIDTH PRIM CRUSH,,,,1798757.72,30.55,52.4,,
EXPL,EXPLOSIVES,Townsville port,129.0,3132.23,6185.1,0.11,0.2,29.29,50.2
CV01,CONVEYOR BELTING,,,,1016945.47,17.91,30.7,,
FPMS,FIXED PLANT MECHANICAL SPARES,,,,830347.75,14.1,24.2,,
SCRN,SCREENS SPARES,,,,1000574.4,13.22,22.7,,
CHEM,CHEMICALS,Townsville port,129.0,95.22,550572.22,12.47,21.4,0.89,1.5
CARB,CARBON,Townsville port,129.0,101.0,687185.85,12.1,20.7,0.94,1.6
MP19,MBL PLNT - HITACHI EX2600,,,,620266.3,10.53,18.1,,
GE07,GET - HITACHI EX3600,,,,775738.8,10.25,17.6,,
CV05,CONVEYOR PULLEYS,,,,504327.51,8.88,15.2,,
FP09,FXD PLT - CYCLONE SPARES,,,,491524.62,8.35,14.3,,
FP04,FXD PLT - METSO MP1000 CRUSHER,,,,466519.36,7.92,13.6,,
FP05,FXD PLT - METSO HP800 CRUSHER,,,,435198.97,7.39,12.7,,
GENC,CONSUMABLES - GENERAL,,,,393085.89,6.92,11.9,,
FPES,FIXED PLANT ELECTRICAL SPARES,,,,399795.31,6.79,11.6,,
PU02,PUMP IMPELLERS,,,,425925.39,6.16,10.6,,
CAUS,CAUSTIC,Townsville port,129.0,254.43,262181.11,5.94,10.2,2.38,4.1
PU01,PUMP LINERS,,,,402379.42,5.82,10.0,,
MP11,MBL PLNT - HITACHI COMMON,,,,327177.38,5.56,9.5,,
FLOC,FLOCCULANT,Townsville port,129.0,82.52,305547.39,5.38,9.2,0.77,1.3
BMAT,BUILDING MATERIALS,,,,470172.16,5.32,9.1,,
FP08,FXD PLT - PIPING & SPOOLS,,,,303247.0,5.15,8.8,,
CV08,CONVEYOR GEARBOXES,,,,272181.73,4.79,8.2,,
FL23,FILTERS OTHER - HITACHI EH3500,,,,256443.45,4.36,7.5,,
PUMP,PUMP PARTS,,,,301559.16,4.36,7.5,,
SCRM,SCREEN MEDIA,,,,349383.58,3.96,6.8,,
PU12,PUMP THROATBUSHS,,,,260317.52,3.77,6.5,,
ACID,ACID,Townsville port,129.0,146.46,152833.53,3.46,5.9,1.37,2.3
WRML,WEAR PARTS - MILLS,,,,303812.68,3.44,5.9,,
FL26,FILTERS OTHER - HITACHI EX3600,,,,200769.41,3.41,5.8,,
MP06,MBL PLNT - CAT D10T2,,,,189334.98,3.22,5.5,,
CRSH,CRUSHER SPARES,,,,219299.74,3.17,5.4,,
WRCH,WEAR PLATES - CHUTES,,,,275929.17,3.12,5.4,,
VALV,VALVES,,,,210509.98,3.05,5.2,,
MPMS,MOBILE PLANT SPARES - MECH,,,,170434.08,2.89,5.0,,
SAFG,SAFETY EQUIPMENT - GENERAL,,,,157397.95,2.77,4.8,,
FL02,FILTERS OTHER - CAT COMMON,,,,143237.49,2.43,4.2,,
STEL,"STEEL PLATE, BAR & TUBE",,,,185689.95,2.1,3.6,,
CV03,CONVEYOR ROLLERS,,,,113482.71,2.0,3.4,,
LABC,"LAB CONSUMABLES, GAS & CHEMLS",,,,112767.06,1.99,3.4,,
MCON,MAINTENANCE CONSUMABLES,,,,110423.12,1.94,3.3,,
MP17,MBL PLNT - HITACHI EX1200,,,,114349.13,1.94,3.3,,
FP06,FXD PLT - TRANSMIN FEEDER,,,,112039.93,1.9,3.3,,
WRRC,WEAR PARTS - RECYCLE CRUSHER,,,,143998.22,1.63,2.8,,
GE01,GET - CAT COMMON,,,,105596.81,1.39,2.4,,
FL32,FILTERS OTHER - HITACHI EX2600,,,,80063.51,1.36,2.3,,
INST,INSTRUMENTATION,,,,106187.91,1.27,2.2,,
HO10,HOSES - HITACHI EX2600,,,,72674.87,1.23,2.1,,
COMH,COMMS HARDWARE,,,,99756.71,1.19,2.0,,
MEDS,MEDICAL SUPPLIES,,,,64363.86,1.13,1.9,,
OFIS,OFFICE SUPPLIES & CONSUMABLES,,,,63981.39,1.13,1.9,,
FLTA,FILTERS - AIR,,,,65870.76,1.12,1.9,,
GE06,GET - HITACHI COMMON,,,,79757.56,1.05,1.8,,
STUL,SMALL TOOLS AND MINOR EQUIPMEN,,,,56793.19,1.0,1.7,,
MP01,MBL PLNT - CAT COMMON,,,,53407.32,0.91,1.6,,
TY02,RIMS,,,,47969.53,0.91,1.6,,
SA01,SAFETY - GLOVES,,,,51114.33,0.9,1.5,,
GE02,GET - CAT 992,,,,64736.5,0.86,1.5,,
SAFC,SAFETY GENERAL CONSUMABLES,,,,48953.35,0.86,1.5,,
PU19,PUMP SLEEVE SHAFTS,,,,57469.03,0.83,1.4,,
WELD,WELDING SUPPLIES & GASSES,,,,72563.67,0.82,1.4,,
FL01,FILTERS AIR - CAT COMMON,,,,47149.49,0.8,1.4,,
EQIP,EQUIPMENT PURCHASES,,,,44810.37,0.79,1.4,,
GE09,GET - HITACHI EX2600,,,,59534.88,0.79,1.3,,
MP08,MBL PLNT - CAT 18,,,,43530.12,0.74,1.3,,
MP03,MBL PLNT - CAT 777,,,,40581.73,0.69,1.2,,
CV06,CONVEYOR OTHER,,,,38525.49,0.68,1.2,,
PU06,PUMP DOSING,,,,47235.0,0.68,1.2,,
BR01,BEARINGS - BEARINGS,,,,55866.2,0.67,1.1,,
CV04,CONVEYOR SCRAPERS,,,,37503.49,0.66,1.1,,
HO08,HOSES - HITACHI EX3600,,,,38673.8,0.66,1.1,,
