Code,Description,Value_Chain_Position,S1_Source,S1_tCO2e,S2_Source,S2_tCO2e,S3_Source,S3_tCO2e,Cat4_Transport_Source,Cat4_Transport_tCO2e,GHG_Method,Material_Archetype,Size_Band,Size_Band_Note
ACID,ACID,Cat 1,,,,,EPA SCEF — Other Basic Inorganic Chemical Manufacturing,0.974 kg/USD,EPA SCEF Margins — Other Basic Inorganic Chemical Manufacturing,0.036 kg/USD,Quantity x factor (in-code),,,
ANTI,ANTISCALANT,Cat 1,,,,,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.472 kg/USD,EPA SCEF Margins — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.028 kg/USD,Quantity x factor (in-code),,,
BATT,BATTERIES,Cat 1,,,,,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.472 kg/USD,EPA SCEF Margins — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.028 kg/USD,Per-unit factor (parts database),general-consumables-tail,Default,
BE01,BELTS - VEE,Cat 1,,,,,EPA SCEF — Motor and Generator Manufacturing,0.133 kg/USD,EPA SCEF Margins — Motor and Generator Manufacturing,0.019 kg/USD,Per-unit factor (parts database),power-transmission,S,
BELT,BELTS,Cat 1,,,,,EPA SCEF — Motor and Generator Manufacturing,0.133 kg/USD,EPA SCEF Margins — Motor and Generator Manufacturing,0.019 kg/USD,Per-unit factor (parts database),power-transmission,M,Multi-band — default shown; individual items may vary
BMAT,BUILDING MATERIALS,Cat 1,,,,,EPA SCEF — Iron and Steel Mills and Ferroalloy Manufacturing,0.769 kg/USD,EPA SCEF Margins — Iron and Steel Mills and Ferroalloy Manufacturing,0.018 kg/USD,Per-unit factor (parts database),ferrous-fabrication,S,
BOM,BOM'S,Cat 1,,,,,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.472 kg/USD,EPA SCEF Margins — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.028 kg/USD,Per-unit factor (parts database),general-consumables-tail,Default,
BR01,BEARINGS - BEARINGS,Cat 1,,,,,EPA SCEF — Motor and Generator Manufacturing,0.133 kg/USD,EPA SCEF Margins — Motor and Generator Manufacturing,0.019 kg/USD,Per-unit factor (parts database),power-transmission,S,
BR02,BEARINGS - ADAPTOR SLEEVES,Cat 1,,,,,EPA SCEF — Motor and Generator Manufacturing,0.133 kg/USD,EPA SCEF Margins — Motor and Generator Manufacturing,0.019 kg/USD,Per-unit factor (parts database),power-transmission,S,
BR03,BEARINGS - TAPERLOCK BUSHES,Cat 1,,,,,EPA SCEF — Motor and Generator Manufacturing,0.133 kg/USD,EPA SCEF Margins — Motor and Generator Manufacturing,0.019 kg/USD,Per-unit factor (parts database),power-transmission,S,
BR04,BEARINGS - HOUSINGS,Cat 1,,,,,EPA SCEF — Motor and Generator Manufacturing,0.133 kg/USD,EPA SCEF Margins — Motor and Generator Manufacturing,0.019 kg/USD,Per-unit factor (parts database),power-transmission,M,
BR05,BEARINGS - SEALS,Cat 1,,,,,EPA SCEF — Motor and Generator Manufacturing,0.133 kg/USD,EPA SCEF Margins — Motor and Generator Manufacturing,0.019 kg/USD,Per-unit factor (parts database),power-transmission,S,
BR06,BEARINGS - SPACER RINGS,Cat 1,,,,,EPA SCEF — Motor and Generator Manufacturing,0.133 kg/USD,EPA SCEF Margins — Motor and Generator Manufacturing,0.019 kg/USD,Per-unit factor (parts database),power-transmission,S,
BR07,BEARINGS - VEE PULLEYS,Cat 1,,,,,EPA SCEF — Motor and Generator Manufacturing,0.133 kg/USD,EPA SCEF Margins — Motor and Generator Manufacturing,0.019 kg/USD,Per-unit factor (parts database),power-transmission,M,
BRNG,BEARINGS & PWR TRANSMISSION EQ,Cat 1,,,,,EPA SCEF — Motor and Generator Manufacturing,0.133 kg/USD,EPA SCEF Margins — Motor and Generator Manufacturing,0.019 kg/USD,Per-unit factor (parts database),power-transmission,S,Multi-band — default shown; individual items may vary
CABE,CABLE ELECTRICAL,Cat 1,,,,,EPA SCEF — Other Electronic Component Manufacturing,0.08 kg/USD,EPA SCEF Margins — Other Electronic Component Manufacturing,0.019 kg/USD,Per-unit factor (parts database),electronic,S,
CARB,CARBON,Cat 1,,,,,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.472 kg/USD,EPA SCEF Margins — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.028 kg/USD,Quantity x factor (in-code),,,
CAUS,CAUSTIC,Cat 1,,,,,EPA SCEF — Other Basic Inorganic Chemical Manufacturing,0.974 kg/USD,EPA SCEF Margins — Other Basic Inorganic Chemical Manufacturing,0.036 kg/USD,Quantity x factor (in-code),,,
CEMT,CEMENT,Cat 1,,,,,EPA SCEF — Cement Manufacturing,3.846 kg/USD,EPA SCEF Margins — Cement Manufacturing,0.078 kg/USD,Quantity x factor (in-code),,,
CHEM,CHEMICALS,Cat 1,,,,,EPA SCEF — Other Basic Inorganic Chemical Manufacturing,0.974 kg/USD,EPA SCEF Margins — Other Basic Inorganic Chemical Manufacturing,0.036 kg/USD,Quantity x factor (in-code),,,
CMPM,COMPRESSOR SPARES MECHANICAL,Cat 1,,,,,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.472 kg/USD,EPA SCEF Margins — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.028 kg/USD,Per-unit factor (parts database),general-consumables-tail,Default,
COMH,COMMS HARDWARE,Cat 1,,,,,EPA SCEF — Other Electronic Component Manufacturing,0.08 kg/USD,EPA SCEF Margins — Other Electronic Component Manufacturing,0.019 kg/USD,Per-unit factor (parts database),electronic,M,
CONE,CONTRACTORS - ELECTRICAL,Cat 1,,,,,EPA SCEF — Electrical Contractors and Other Wiring Installation Contractors,0.221 kg/USD,,,Spend x EEIO factor,,,
CONG,CONTRACTORS - GENERAL,Cat 1,,,,,EPA SCEF — All Other Specialty Trade Contractors,0.221 kg/USD,,,Spend x EEIO factor,,,
CONL,CONTRACTORS - LABOUR HIRE,Cat 1,,,,,EPA SCEF — Temporary Help Services,0.051 kg/USD,,,Spend x EEIO factor,,,
CONQ,CONSULTANTS,Cat 1,,,,,EPA SCEF — Environmental Consulting Services,0.09 kg/USD,,,Spend x EEIO factor,,,
CONT,CONTRACTOR TEMP STAFF(EXTERNAL,Cat 1,,,,,EPA SCEF — Temporary Help Services,0.051 kg/USD,,,Spend x EEIO factor,,,
CORE,CORE CHARGE,Cat 1,,,,,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.472 kg/USD,EPA SCEF Margins — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.028 kg/USD,Per-unit factor (parts database),general-consumables-tail,Default,
CRSH,CRUSHER SPARES,Cat 1,,,,,EPA SCEF — Iron and Steel Forging,0.47 kg/USD,EPA SCEF Margins — Iron and Steel Forging,0.023 kg/USD,Per-unit factor (parts database),cast-forged,L,
CV01,CONVEYOR BELTING,Cat 1,,,,,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,0.281 kg/USD,EPA SCEF Margins — Rubber and Plastics Hoses and Belting Manufacturing,0.028 kg/USD,Per-unit factor (parts database),conveyor,L,
CV02,CONVEYOR FRAMES,Cat 1,,,,,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,0.281 kg/USD,EPA SCEF Margins — Rubber and Plastics Hoses and Belting Manufacturing,0.028 kg/USD,Per-unit factor (parts database),conveyor,M,
CV03,CONVEYOR ROLLERS,Cat 1,,,,,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,0.281 kg/USD,EPA SCEF Margins — Rubber and Plastics Hoses and Belting Manufacturing,0.028 kg/USD,Per-unit factor (parts database),conveyor,S,
CV04,CONVEYOR SCRAPERS,Cat 1,,,,,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,0.281 kg/USD,EPA SCEF Margins — Rubber and Plastics Hoses and Belting Manufacturing,0.028 kg/USD,Per-unit factor (parts database),conveyor,S,
CV05,CONVEYOR PULLEYS,Cat 1,,,,,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,0.281 kg/USD,EPA SCEF Margins — Rubber and Plastics Hoses and Belting Manufacturing,0.028 kg/USD,Per-unit factor (parts database),conveyor,L,
CV06,CONVEYOR OTHER,Cat 1,,,,,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,0.281 kg/USD,EPA SCEF Margins — Rubber and Plastics Hoses and Belting Manufacturing,0.028 kg/USD,Per-unit factor (parts database),conveyor,S,
CV07,CONVEYOR SKIRTING,Cat 1,,,,,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,0.281 kg/USD,EPA SCEF Margins — Rubber and Plastics Hoses and Belting Manufacturing,0.028 kg/USD,Per-unit factor (parts database),conveyor,S,
CV08,CONVEYOR GEARBOXES,Cat 1,,,,,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,0.281 kg/USD,EPA SCEF Margins — Rubber and Plastics Hoses and Belting Manufacturing,0.028 kg/USD,Per-unit factor (parts database),conveyor,L,
CV09,CONVEYOR GEARBOX COMPONENTS,Cat 1,,,,,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,0.281 kg/USD,EPA SCEF Margins — Rubber and Plastics Hoses and Belting Manufacturing,0.028 kg/USD,Per-unit factor (parts database),conveyor,M,
CYAN,CYANIDE,Cat 1,,,,,EPA SCEF — Other Basic Inorganic Chemical Manufacturing,0.974 kg/USD,EPA SCEF Margins — Other Basic Inorganic Chemical Manufacturing,0.036 kg/USD,Quantity x factor (in-code),,,
DEGR,DEGREASER,Cat 1,,,,,EPA SCEF — Soap and Other Detergent Manufacturing,0.315 kg/USD,EPA SCEF Margins — Soap and Other Detergent Manufacturing,0.04 kg/USD,Quantity x factor (in-code),,,
DUST,DUST SUPPRESSANT,Cat 1,,,,,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.472 kg/USD,EPA SCEF Margins — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.028 kg/USD,Quantity x factor (in-code),,,
ECON,ELECTRICAL CONSUMABLES,Cat 1,,,,,EPA SCEF — Other Electronic Component Manufacturing,0.08 kg/USD,EPA SCEF Margins — Other Electronic Component Manufacturing,0.019 kg/USD,Per-unit factor (parts database),electronic,S,
EL01,ELECTRICAL VSD'S,Cat 1,,,,,"EPA SCEF — Measuring, Dispensing, and Other Pumping Equipment Manufacturing",0.223 kg/USD,,,Per-unit factor (parts database),electromechanical,L,
ELRE,ELECTRICAL RETICULATION,Cat 1,,,,,EPA SCEF — Other Electronic Component Manufacturing,0.08 kg/USD,EPA SCEF Margins — Other Electronic Component Manufacturing,0.019 kg/USD,Per-unit factor (parts database),electronic,M,
EQIP,EQUIPMENT PURCHASES,Cat 1,,,,,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.472 kg/USD,EPA SCEF Margins — All Other Miscellaneous Chemical Product and Preparation Manufacturing,0.028 kg/USD,Per-unit factor (parts database),general-consumables-tail,Default,
EXPL,EXPLOSIVES,Cat 1,AGO 2004 Table 11,0.17 t/t,,,EPA SCEF — Explosives Manufacturing,0.472 kg/USD,EPA SCEF Margins — Explosives Manufacturing,0.028 kg/USD,Quantity x AGO 2004 factor,,,
FAST,FASTENERS AND BOLTING,Cat 1,,,,,EPA SCEF — Iron and Steel Mills and Ferroalloy Manufacturing,0.769 kg/USD,EPA SCEF Margins — Iron and Steel Mills and Ferroalloy Manufacturing,0.018 kg/USD,Per-unit factor (parts database),ferrous-fabrication,S,
FL01,FILTERS AIR - CAT COMMON,Cat 1,,,,,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,0.146 kg/USD,EPA SCEF Margins — Other Metal Valve and Pipe Fitting Manufacturing,0.027 kg/USD,Per-unit factor (parts database),mixed-mechanical,S,
FL02,FILTERS OTHER - CAT COMMON,Cat 1,,,,,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,0.146 kg/USD,EPA SCEF Margins — Other Metal Valve and Pipe Fitting Manufacturing,0.027 kg/USD,Per-unit factor (parts database),mixed-mechanical,S,
FL04,FILTERS AIR - CAT 992,Cat 1,,,,,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,0.146 kg/USD,EPA SCEF Margins — Other Metal Valve and Pipe Fitting Manufacturing,0.027 kg/USD,Per-unit factor (parts database),mixed-mechanical,S,
FL05,FILTERS OTHER- CAT 777,Cat 1,,,,,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,0.146 kg/USD,EPA SCEF Margins — Other Metal Valve and Pipe Fitting Manufacturing,0.027 kg/USD,Per-unit factor (parts database),mixed-mechanical,M,
FL08,FILTERS OTHER- CAT 777,Cat 1,,,,,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,0.146 kg/USD,EPA SCEF Margins — Other Metal Valve and Pipe Fitting Manufacturing,0.027 kg/USD,Per-unit factor (parts database),mixed-mechanical,S,
