Category,Basis,Key,Key_Type,Description,Factor,Factor_Unit,Quantity_UOM,Factor_Year,Factor_Source,Source_Ref,NAICS_Code,NAICS_Title,Match_Key,Excluded,Exclude_Reason,Notes
1,excluded,FUEL,ProductGroup,DIESEL & PETROL,,,,,NGA — WTT diesel,,,,,Y,Diesel and petrol.  Scope 1 combustion and Category 3 well to tank.,
1,excluded,LABO,ProductGroup,LABOUR TYPE,,,,,,,,,,Y,Labour type.  Not a purchased good.,
1,excluded,LUBR,ProductGroup,LUBRICANTS,,,,,NGA — WTT petroleum oils,,,,,Y,Lubricants.  Scope 1 combustion and Category 3 well to tank.,
1,excluded,PROP,ProductGroup,PROPANE,,,,,NGA — WTT LPG,,,,,Y,Propane.  Scope 1 combustion and Category 3 well to tank.,
1,excluded,ZDEL,ProductGroup,Deleted Items,,,,,,,,,,Y,Deleted items.,
1,excluded,ZZZZ,ProductGroup,Generic - To Be Corrected,,,,,,,,,,Y,"Generic, to be corrected.",
1,physical,EXPL,ProductGroup,EXPL,2.12,t CO2-e per t,t,,"AusLCI V48, ammonium nitrate, market for ammonium nitrate",,,,Explosives,N,,"Manufacture of the explosive. Detonation is separate, 0.17 t CO2 per tonne on AGO 2004 Table 11, and is carried as Scope 1 in Config.py."
1,spend,ACID,ProductGroup,ACID,0.974,kg/USD,,2022.0,EPA SCEF — Other Basic Inorganic Chemical Manufacturing,,,,,N,,
1,spend,ANTI,ProductGroup,ANTISCALANT,0.472,kg/USD,,2022.0,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,,325998.0,All Other Miscellaneous Chemical Product and Preparation Manufacturing,,N,,
1,spend,BATT,ProductGroup,BATTERIES,0.472,kg/USD,,2022.0,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,,,,,N,,
1,spend,BE01,ProductGroup,BELTS - VEE,0.133,kg/USD,,2022.0,EPA SCEF — Motor and Generator Manufacturing,,,,,N,,
1,spend,BELT,ProductGroup,BELTS,0.133,kg/USD,,2022.0,EPA SCEF — Motor and Generator Manufacturing,,,,,N,,
1,spend,BMAT,ProductGroup,BUILDING MATERIALS,0.769,kg/USD,,2022.0,EPA SCEF — Iron and Steel Mills and Ferroalloy Manufacturing,,,,,N,,
1,spend,BOM,ProductGroup,BOM'S,0.472,kg/USD,,2022.0,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,,,,,N,,
1,spend,BR01,ProductGroup,BEARINGS - BEARINGS,0.133,kg/USD,,2022.0,EPA SCEF — Motor and Generator Manufacturing,,,,,N,,
1,spend,BR02,ProductGroup,BEARINGS - ADAPTOR SLEEVES,0.133,kg/USD,,2022.0,EPA SCEF — Motor and Generator Manufacturing,,,,,N,,
1,spend,BR03,ProductGroup,BEARINGS - TAPERLOCK BUSHES,0.133,kg/USD,,2022.0,EPA SCEF — Motor and Generator Manufacturing,,,,,N,,
1,spend,BR04,ProductGroup,BEARINGS - HOUSINGS,0.133,kg/USD,,2022.0,EPA SCEF — Motor and Generator Manufacturing,,,,,N,,
1,spend,BR05,ProductGroup,BEARINGS - SEALS,0.133,kg/USD,,2022.0,EPA SCEF — Motor and Generator Manufacturing,,,,,N,,
1,spend,BR06,ProductGroup,BEARINGS - SPACER RINGS,0.133,kg/USD,,2022.0,EPA SCEF — Motor and Generator Manufacturing,,,,,N,,
1,spend,BR07,ProductGroup,BEARINGS - VEE PULLEYS,0.133,kg/USD,,2022.0,EPA SCEF — Motor and Generator Manufacturing,,,,,N,,
1,spend,BRNG,ProductGroup,BEARINGS & PWR TRANSMISSION EQ,0.133,kg/USD,,2022.0,EPA SCEF — Motor and Generator Manufacturing,,,,,N,,
1,spend,CABE,ProductGroup,CABLE ELECTRICAL,0.08,kg/USD,,2022.0,EPA SCEF — Other Electronic Component Manufacturing,,,,,N,,
1,spend,CARB,ProductGroup,CARBON,0.472,kg/USD,,2022.0,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,,,,,N,,
1,spend,CAUS,ProductGroup,CAUSTIC,0.974,kg/USD,,2022.0,EPA SCEF — Other Basic Inorganic Chemical Manufacturing,,,,,N,,
1,spend,CEMT,ProductGroup,CEMENT,3.846,kg/USD,,2022.0,EPA SCEF — Cement Manufacturing,,327310.0,Cement Manufacturing,,N,,
1,spend,CHEM,ProductGroup,CHEMICALS,0.974,kg/USD,,2022.0,EPA SCEF — Other Basic Inorganic Chemical Manufacturing,,,,,N,,
1,spend,CMPM,ProductGroup,COMPRESSOR SPARES MECHANICAL,0.472,kg/USD,,2022.0,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,,,,,N,,
1,spend,COMH,ProductGroup,COMMS HARDWARE,0.08,kg/USD,,2022.0,EPA SCEF — Other Electronic Component Manufacturing,,,,,N,,
1,spend,CONE,ProductGroup,CONTRACTORS - ELECTRICAL,0.221,kg/USD,,2022.0,EPA SCEF — Electrical Contractors and Other Wiring Installation Contractors,,,,,N,,
1,spend,CONG,ProductGroup,CONTRACTORS - GENERAL,0.221,kg/USD,,2022.0,EPA SCEF — All Other Specialty Trade Contractors,,,,,N,,
1,spend,CONL,ProductGroup,CONTRACTORS - LABOUR HIRE,0.051,kg/USD,,2022.0,EPA SCEF — Temporary Help Services,,,,,N,,
1,spend,CONQ,ProductGroup,CONSULTANTS,0.09,kg/USD,,2022.0,EPA SCEF — Environmental Consulting Services,,,,,N,,
1,spend,CONT,ProductGroup,CONTRACTOR TEMP STAFF(EXTERNAL,0.051,kg/USD,,2022.0,EPA SCEF — Temporary Help Services,,,,,N,,
1,spend,CORE,ProductGroup,CORE CHARGE,0.472,kg/USD,,2022.0,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,,,,,N,,
1,spend,CRSH,ProductGroup,CRUSHER SPARES,0.47,kg/USD,,2022.0,EPA SCEF — Iron and Steel Forging,,,,,N,,
1,spend,CV01,ProductGroup,CONVEYOR BELTING,0.281,kg/USD,,2022.0,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,,,,,N,,
1,spend,CV02,ProductGroup,CONVEYOR FRAMES,0.281,kg/USD,,2022.0,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,,,,,N,,
1,spend,CV03,ProductGroup,CONVEYOR ROLLERS,0.281,kg/USD,,2022.0,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,,,,,N,,
1,spend,CV04,ProductGroup,CONVEYOR SCRAPERS,0.281,kg/USD,,2022.0,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,,,,,N,,
1,spend,CV05,ProductGroup,CONVEYOR PULLEYS,0.281,kg/USD,,2022.0,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,,,,,N,,
1,spend,CV06,ProductGroup,CONVEYOR OTHER,0.281,kg/USD,,2022.0,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,,,,,N,,
1,spend,CV07,ProductGroup,CONVEYOR SKIRTING,0.281,kg/USD,,2022.0,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,,,,,N,,
1,spend,CV08,ProductGroup,CONVEYOR GEARBOXES,0.281,kg/USD,,2022.0,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,,,,,N,,
1,spend,CV09,ProductGroup,CONVEYOR GEARBOX COMPONENTS,0.281,kg/USD,,2022.0,EPA SCEF — Rubber and Plastics Hoses and Belting Manufacturing,,,,,N,,
1,spend,CYAN,ProductGroup,CYANIDE,0.974,kg/USD,,2022.0,EPA SCEF — Other Basic Inorganic Chemical Manufacturing,,325180.0,Other Basic Inorganic Chemical Manufacturing,,N,,
1,spend,DEGR,ProductGroup,DEGREASER,0.315,kg/USD,,2022.0,EPA SCEF — Soap and Other Detergent Manufacturing,,325611.0,Soap and Other Detergent Manufacturing,,N,,
1,spend,DUST,ProductGroup,DUST SUPPRESSANT,0.472,kg/USD,,2022.0,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,,325998.0,All Other Miscellaneous Chemical Product and Preparation Manufacturing,,N,,
1,spend,ECON,ProductGroup,ELECTRICAL CONSUMABLES,0.08,kg/USD,,2022.0,EPA SCEF — Other Electronic Component Manufacturing,,,,,N,,
1,spend,EL01,ProductGroup,ELECTRICAL VSD'S,0.223,kg/USD,,2022.0,"EPA SCEF — Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,,,,N,,
1,spend,ELRE,ProductGroup,ELECTRICAL RETICULATION,0.08,kg/USD,,2022.0,EPA SCEF — Other Electronic Component Manufacturing,,,,,N,,
1,spend,EQIP,ProductGroup,EQUIPMENT PURCHASES,0.472,kg/USD,,2022.0,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,,,,,N,,
1,spend,EXPL,ProductGroup,EXPLOSIVES,0.472,kg/USD,,2022.0,EPA SCEF — Explosives Manufacturing,,325920.0,Explosives Manufacturing,,N,,
1,spend,FAST,ProductGroup,FASTENERS AND BOLTING,0.769,kg/USD,,2022.0,EPA SCEF — Iron and Steel Mills and Ferroalloy Manufacturing,,,,,N,,
1,spend,FL01,ProductGroup,FILTERS AIR - CAT COMMON,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FL02,ProductGroup,FILTERS OTHER - CAT COMMON,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FL04,ProductGroup,FILTERS AIR - CAT 992,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FL05,ProductGroup,FILTERS OTHER- CAT 777,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FL08,ProductGroup,FILTERS OTHER- CAT 777,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FL19,ProductGroup,FILTERS AIR - HITACHI COMMON,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FL20,ProductGroup,FILTERS OTHER - HITACHI COMMON,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FL22,ProductGroup,FILTERS AIR - HITACHI EH3500,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FL23,ProductGroup,FILTERS OTHER - HITACHI EH3500,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FL26,ProductGroup,FILTERS OTHER - HITACHI EX3600,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FL29,ProductGroup,FILTERS OTHER- HITACHI EX1200,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FL32,ProductGroup,FILTERS OTHER - HITACHI EX2600,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FLOC,ProductGroup,FLOCCULANT,0.472,kg/USD,,2022.0,EPA SCEF — All Other Miscellaneous Chemical Product and Preparation Manufacturing,,325998.0,All Other Miscellaneous Chemical Product and Preparation Manufacturing,,N,,
1,spend,FLTA,ProductGroup,FILTERS - AIR,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FLTR,ProductGroup,FILTER OTHER,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FP01,ProductGroup,FXD PLT - CJ815 MECH,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FP03,ProductGroup,FXD PLT - FLSMIDTH PRIM CRUSH,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FP04,ProductGroup,FXD PLT - METSO MP1000 CRUSHER,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FP05,ProductGroup,FXD PLT - METSO HP800 CRUSHER,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FP06,ProductGroup,FXD PLT - TRANSMIN FEEDER,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
1,spend,FP07,ProductGroup,FXD PLT - STEINERT MAG BELT,0.146,kg/USD,,2022.0,EPA SCEF — Other Metal Valve and Pipe Fitting Manufacturing,,,,,N,,
