Date,DataSet,Description,Department,CostCentre,UOM,Quantity,Source,FY
2023-01-01 00:00:00,Base,Crushed Ore t,Processing,Mining,t,198211.0,PhysicalsActual.xlsx,2023.0
2023-01-01 00:00:00,Base,Not reportable,,Mobile Equipment Workshop,L,20.0,103011 - DEGREASER SIMPLE GREEN 20L DRUM,2023.0
2023-01-01 00:00:00,Base,Grid electricity,Processing,Milling,kWh,5494458.485,CS Energy Invoice,2023.0
2023-01-01 00:00:00,Base,Grid electricity,Administration,Crushing - Fixed,kWh,929424.9956,CS Energy Invoice,2023.0
2023-01-01 00:00:00,Base,Site electricity,Processing,Milling,kWh,2031726.0,CS Energy Invoice,2023.0
2023-01-01 00:00:00,Base,Not reportable,Administration,Village and Housing,m3,23.8,"140158 - ARGOSHIELD 52, SIZE G2, (11.9M3), 070G2",2023.0
2023-01-01 00:00:00,Base,Grid electricity,Administration,Tailings Disposal,kWh,319558.2345,CS Energy Invoice,2023.0
2023-01-01 00:00:00,Base,Grid electricity,Administration,Management Services,kWh,210404.6898,CS Energy Invoice,2023.0
2023-01-01 00:00:00,Base,Grid electricity,Administration,Operations Administration,kWh,14190.4869,CS Energy Invoice,2023.0
2023-01-01 00:00:00,Base,Milled Tonnes,Processing,,units,394370.0,PhysicalsActual.xlsx,2023.0
2023-01-01 00:00:00,Base,Not reportable,Processing,Gold Room,kg,50.0,"101492 - SODIUM CARBONATE, DENSE SODA ASH, 25KG BAG",2023.0
2023-01-01 00:00:00,Base,Liquefied petroleum gas (LPG),Processing,Gold Room,kg,25836.5,103570 - PROPANE LIQUID PROPANE GAS BULK DELIVERY,2023.0
2023-01-01 00:00:00,Base,Grid electricity,Administration,Nolans South Crusher,kWh,2849978.674,CS Energy Invoice,2023.0
2023-01-01 00:00:00,Base,Petroleum based oils,Mining,Hauling,L,627.0,"126312 - OIL, GEAR, SPIRAX S4 AX 80W-90 209L",2023.0
2023-01-01 00:00:00,Base,Not reportable,Administration,Management Services,g,600.0,"100078 - AIR BRUSH, CRC 2066 300GM AEROSOL CAN",2023.0
2023-01-01 00:00:00,Base,Ore Mined t,Mining,Mining,t,221144.0,Dec23 Mined 2 Mill Recon,2023.0
2023-01-01 00:00:00,Base,Gold Produced,Sales,,units,16795.0,PhysicalsActual.xlsx,2023.0
2023-01-01 00:00:00,Base,Grid electricity,Administration,Rehabilitation,kWh,27162.43455,CS Energy Invoice,2023.0
2023-01-01 00:00:00,Base,Not reportable,Processing,Laboratory,ea,1.0,104165 - SODIUM HYPOCHLORITE SOLUTION CHLORINE 10%,2023.0
2023-01-01 00:00:00,Base,Gold Recovered oz,Processing,,oz,14750.0,PhysicalsActual.xlsx,2023.0
2023-01-01 00:00:00,Base,Diesel oil - Mobile equipment,Mining,Hauling,L,1032886.6,103206 - DIESEL FUEL BULK,2023.0
2023-01-01 00:00:00,Base,Diesel oil - Mobile equipment,Mining,Crushing - Supplemental,L,69529.96,103206 - DIESEL FUEL BULK,2023.0
2023-01-01 00:00:00,Base,Diesel oil - Mobile equipment,Mining,Mobile Equipment,L,43273.06,103206 - DIESEL FUEL BULK,2023.0
2023-01-01 00:00:00,Base,Diesel oil - Mobile equipment,Mining,Light Vehicles,L,32364.38,103206 - DIESEL FUEL BULK,2023.0
2023-01-01 00:00:00,Base,Diesel oil - Mobile equipment,Mining,Grade Control,L,22541.45,103206 - DIESEL FUEL BULK,2023.0
2023-01-01 00:00:00,Base,Diesel oil - Mobile equipment,Mining,Drilling - Production,L,128753.47,103206 - DIESEL FUEL BULK,2023.0
2023-01-01 00:00:00,Base,Gold Sold,Sales,,units,16795.0,PhysicalsActual.xlsx,2023.0
2023-01-01 00:00:00,Base,Diesel oil - Site power generation,Utilities,Site Power Generation,L,83579.0,103206 - DIESEL FUEL BULK,2023.0
2023-01-01 00:00:00,Base,Diesel oil - Mobile equipment,Mining,Blasting,L,3452.24,103206 - DIESEL FUEL BULK,2023.0
2023-01-01 00:00:00,Base,Diesel oil - Mobile equipment,Mining,Operations Administration,L,607.7,103206 - DIESEL FUEL BULK,2023.0
2023-01-01 00:00:00,Base,Diesel oil - Mobile equipment,Mining,Loading,L,394336.52,103206 - DIESEL FUEL BULK,2023.0
