Date,Activity,SubActivity,Description,Department,CostCentre,State,UOM,Quantity,Source,Identifier
1/1/2026,Blasting,Explosives,Explosives,Mining Open Pit,Blasting,QLD,t,437673.1946,Budget,10202129570
1/1/2026,Combustion,Acetylene,Acetylene gas,Mining,Projects and Work Orders,QLD,m3,45.89436,Budget,100192
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Blasting,QLD,kL,5.529875955,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Crushing - Fixed,QLD,kL,0.967421399,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Crushing - Supplemental,QLD,kL,0.091051426,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Drilling - Production,QLD,kL,116.5028805,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Environment,QLD,kL,0.13910917,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Exploration and Development,QLD,kL,1.564978166,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Geotechnical,QLD,kL,5.177147242,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Grade Control,QLD,kL,21.6416133,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Hauling,QLD,kL,646.7224064,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Light Vehicles,QLD,kL,17.70164192,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Loading,QLD,kL,240.185497,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Management Services,QLD,kL,3.906649199,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Mobile Equipment,QLD,kL,128.4046299,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Nolans South Crusher,QLD,kL,45.63952718,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Operations Administration,QLD,kL,0.579621543,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Projects and Work Orders,QLD,kL,886.176,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Stationary,Mining,Rehandling,QLD,kL,188.5846997,Budget,103206
1/1/2026,Combustion,Diesel,Diesel - Power generation,Utilities,Site Power Generation,QLD,kL,2168.76372,Budget,103206
1/1/2026,Combustion,Greases,Petroleum grease,Mining,Projects and Work Orders,QLD,kL,2.84532,Budget,101578
